PLAYER,TEAM,AGE,DATE OF BIRTH,COUNTRY,WEIGHT,HEIGHT,POS,HANDED,DRAFTED,SLIDE CAND.,WAIVERS EXEMPT,ARB. ELIG,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,W,L,SO,GAA,Sv%,TYPE,SIGNING DATE,SIGNING AGE,ARB. ELIG.1,ARB. REQ,CLAUSE,LENGTH,SIGNING,EXPIRY,EXP. YEAR,CAP HIT,CAP HIT %,AAV,SALARY,BASE SALARY,MINORS,S.BONUS,P.BONUS
811. Oskar Steen,BOS,21,"Mar 9, 1998",Sweden,187 lbs - 85 kg,5' 9 - 175 cm,"C, RW",Right,165 - Round 6 - 2016 (BOS),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"May 3, 2019",21,,,,3,ELC,RFA,2022,"$809,167",1.0%,"$925,000","$792,500","$700,000","$70,000","$92,500","$132,500"
812. Fabian Zetterlund,NJD,19,"Aug 25, 1999",Sweden,196 lbs - 89 kg,5'11 - 180 cm,"C, RW",Right,63 - Round 3 - 2017 (NJD),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"May 13, 2019",19,,,,3,ELC,RFA,2022,"$809,167",1.0%,"$925,000","$792,500","$700,000","$70,000","$92,500","$132,500"
813. Tarmo Reunanen,NYR,21,"Mar 1, 1998",Finland,188 lbs - 85 kg,"6'0"" - 183 cm",D,Left,98 - Round 4 - 2016 (NYR),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Jun 5, 2019",21,,,,3,ELC,RFA,2022,"$809,167",1.0%,"$925,000","$792,500","$700,000","$70,000","$92,500","$132,500"
814. Joel Hofer,STL,18,"Jul 30, 2000",Canada,161 lbs - 73 kg,6' 3 - 191 cm,G,Left,107 - Round 4 - 2018 (STL),✓,✓,,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,Entry-Level,"Mar 21, 2019",18,,,,3,ELC,RFA,2022,"$809,166",1.0%,"$925,000","$792,500","$700,000","$70,000","$92,500","$132,500"
815. Joey Keane,NYR,19,"Jul 2, 1999",United States,181 lbs - 82 kg,6'0 - 183 cm,D,Right,88 - Round 3 - 2018 (NYR),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Mar 1, 2019",19,,,,3,ELC,RFA,2022,"$809,166",1.0%,"$925,000","$792,500","$700,000","$70,000","$92,500","$132,500"
816. Jacob Elmer,NYR,20,"Dec 31, 1998",Canada,190 lbs - 86 kg,6'1 - 185 cm,RW,Right,-,,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Mar 15, 2019",20,,,,3,ELC,RFA,2022,"$809,166",1.0%,"$925,000","$792,500","$700,000","$70,000","$92,500","$132,500"
817. Justin Almeida,PIT,20,"Feb 6, 1999",Canada,163 lbs - 74 kg,5'10 - 178 cm,"C, LW",Left,129 - Round 5 - 2018 (PIT),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Mar 9, 2019",20,,,,3,ELC,RFA,2022,"$809,166",1.0%,"$925,000","$792,500","$700,000","$70,000","$92,500","$132,500"
818. Simon Benoit,ANA,20,"Sep 19, 1998",Canada,181 lbs - 82 kg,6'3 - 191 cm,D,Left,-,,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Mar 4, 2019",20,,,,3,ELC,RFA,2022,"$809,166",1.0%,"$925,000","$792,500","$700,000","$70,000","$92,500","$132,500"
819. Akil Thomas,LAK,19,"Jan 2, 2000",United States,177 lbs - 80 kg,5'11 - 180 cm,C,Right,51 - Round 2 - 2018 (LAK),✓,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Mar 16, 2019",19,,,,3,ELC,RFA,2022,"$809,166",1.0%,"$925,000","$792,500","$700,000","$70,000","$92,500","$132,500"
820. Jimmy Huntington,TBL,20,"Nov 18, 1998",Canada,195 lbs - 88 kg,6'1 - 185 cm,C,Left,-,,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Mar 1, 2019",20,,,,3,ELC,RFA,2022,"$809,166",1.0%,"$925,000","$792,500","$700,000","$70,000","$92,500","$132,500"
821. Trey Fix-Wolansky,CBJ,20,"May 26, 1999",Canada,185 lbs - 84 kg,5' 8 - 173 cm,RW,Right,204 - Round 7 - 2018 (CBJ),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Mar 15, 2019",20,,,,3,ELC,RFA,2022,"$809,166",1.0%,"$925,000","$792,500","$700,000","$70,000","$92,500","$132,500"
822. Sean Durzi,LAK,20,"Oct 21, 1998",Canada,188 lbs - 85 kg,6'0 - 183 cm,D,Right,52 - Round 2 - 2018 (TOR),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Apr 1, 2019",20,,,,3,ELC,RFA,2022,"$809,166",1.0%,"$925,000","$792,500","$700,000","$70,000","$92,500","$132,500"
823. Jan Drozg,PIT,20,"Apr 1, 1999",Slovenia,168 lbs - 76 kg,6'0 - 183 cm,"LW, RW",Right,152 - Round 5 - 2017 (PIT),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Mar 2, 2019",20,,,,3,ELC,RFA,2022,"$809,166",1.0%,"$925,000","$792,500","$700,000","$70,000","$92,500","$132,500"
824. Stelio Mattheos,CAR,20,"Jun 14, 1999",Canada,194 lbs - 88 kg,6'1 - 185 cm,C,Right,73 - Round 3 - 2017 (CAR),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Mar 21, 2019",20,,,,3,ELC,RFA,2022,"$809,166",1.0%,"$925,000","$792,500","$700,000","$70,000","$92,500","$132,500"
825. Patrick Bajkov,FLA,21,"Nov 27, 1997",Canada,161 lbs - 73 kg,5'11 - 180 cm,"RW, LW",Right,-,,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Mar 9, 2018",20,,,,3,ELC,RFA,2021,"$809,166",1.1%,"$925,000","$817,500","$725,000","$70,000","$92,500","$107,500"
826. Calen Addison,PIT,19,"Apr 11, 2000",Canada,178 lbs - 81 kg,5'10 - 178 cm,D,Right,53 - Round 2 - 2018 (PIT),✓,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Apr 6, 2019",19,,,,3,ELC,RFA,2022,"$809,166",1.0%,"$925,000","$792,500","$700,000","$70,000","$92,500","$132,500"
827. Tyler Benson,EDM,21,"Mar 15, 1998",Canada,201 lbs - 91 kg,6'0 - 183 cm,LW,Left,32 - Round 2 - 2016 (EDM),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Dec 30, 2016",18,,,,3,ELC,RFA,2021,"$808,333",1.2%,"$863,333","$800,000","$800,000","$70,000",$0,"$32,500"
828. Jonas Røndbjerg,VGK,20,"Mar 31, 1999",Denmark,176 lbs - 80 kg,6' 0 - 183 cm,RW,Left,65 - Round 3 - 2017 (VGK),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"May 30, 2019",20,,,,3,ELC,RFA,2022,"$806,667",1.0%,"$900,000","$790,000","$700,000","$70,000","$90,000","$110,000"
829. Ian Scott,TOR,20,"Jan 11, 1999",Canada,168 lbs - 76 kg,6'3 - 191 cm,G,Left,110 - Round 4 - 2017 (TOR),,✓,,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,Entry-Level,"Dec 14, 2018",19,,,,3,ELC,RFA,2022,"$805,833",1.0%,"$910,833","$792,500","$700,000","$70,000","$92,500","$182,500"
830. Martin Fehérváry,WSH,19,"Oct 6, 1999",Slovakia,194 lbs - 88 kg,6'2 - 188 cm,D,Left,46 - Round 2 - 2018 (WSH),✓,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Jul 1, 2018",18,,,,3,ELC,RFA,2022,"$805,833",1.1%,"$894,167","$792,500","$700,000","$70,000","$92,500","$132,500"
831. Gabriel Fortier,TBL,19,"Feb 6, 2000",Canada,170 lbs - 77 kg,5'10 - 178 cm,LW,Left,59 - Round 2 - 2018 (TBL),✓,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Dec 19, 2018",18,,,,3,ELC,RFA,2022,"$805,833",1.1%,"$894,167","$792,500","$700,000","$70,000","$92,500","$132,500"
832. Will Bitten,MIN,20,"Jul 10, 1998",Canada,168 lbs - 76 kg,5'10 - 178 cm,"RW, C",Right,70 - Round 3 - 2016 (MTL),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Mar 7, 2018",19,,,,3,ELC,RFA,2021,"$805,000",1.1%,"$910,000","$792,500","$700,000","$70,000","$92,500","$132,500"
833. Linus Söderström,NYI,22,"Aug 23, 1996",Sweden,196 lbs - 89 kg,6'5 - 196 cm,G,Left,95 - Round 4 - 2014 (NYI),,✓,,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,Entry-Level,"May 11, 2017",20,,,,3,ELC,RFA,2020,"$803,333",1.1%,"$925,000","$925,000","$832,500","$70,000","$92,500",$0
834. Jesper Sellgren,CAR,21,"Jun 11, 1998",Sweden,170 lbs - 77 kg,5' 10 - 178 cm,D,Left,166 - Round 6 - 2018 (CAR),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"May 28, 2019",21,,,,3,ELC,RFA,2022,"$803,333",1.0%,"$875,000","$775,000","$700,000","$70,000","$75,000",$0
835. Ryan Gropp,NYR,22,"Sep 16, 1996",Canada,187 lbs - 85 kg,6' 2 - 188 cm,LW,Left,41 - Round 2 - 2015 (NYR),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Dec 31, 2015",18,,,,3,ELC,RFA,2020,"$802,500",1.2%,"$888,333","$832,500",$0,"$70,000",$0,$0
836. Adam Ruzicka,CGY,20,"May 11, 1999",Slovakia,209 lbs - 95 kg,6'4 - 193 cm,"C, RW",Left,109 - Round 4 - 2017 (CGY),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Apr 12, 2019",20,,,,3,ELC,RFA,2022,"$801,666",1.0%,"$850,000","$785,000","$700,000","$70,000","$85,000","$65,000"
837. Travis Boyd,WSH,25,"Sep 14, 1993",United States,185 lbs - 84 kg,5' 11 - 180 cm,"C, RW",Right,177 - Round 6 - 2011 (WSH),,,✔,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 1, 2018",24,✔,,,2,RFA,RFA,2020,"$800,000",1.0%,"$800,000","$800,000","$800,000","$800,000",$0,$0
838. Joseph Woll,TOR,20,"Jul 12, 1998",United States,198 lbs - 90 kg,6'2 - 188 cm,G,Left,62 - Round 3 - 2016 (TOR),,✓,,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,Entry-Level,"Mar 24, 2019",19,,,,3,ELC,10.2(c),2021,"$800,000",1.0%,"$800,000","$800,000","$720,000","$70,000","$80,000",$0
839. Joseph Duszak,TOR,21,"Jul 22, 1997",United States,185 lbs - 84 kg,5'10 - 178 cm,D,Right,-,,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Mar 13, 2019",21,,,,2,ELC,RFA,2021,"$800,000",1.0%,"$800,000","$800,000","$720,000","$70,000","$80,000",$0
840. Steven Kampfer,BOS,30,"Sep 24, 1988",United States,198 lbs - 90 kg,5' 11 - 180 cm,D,Right,93 - Round 4 - 2007 (ANA),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jun 24, 2019",30,,,,2,UFA,UFA,2021,"$800,000",1.0%,"$800,000","$800,000","$800,000","$800,000",$0,$0
841. Dalton Prout,SJS,29,"Mar 13, 1990",Canada,215 lbs - 98 kg,6' 3 - 191 cm,D,Right,154 - Round 6 - 2010 (CBJ),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 1, 2019",29,,,,1,UFA,UFA,2020,"$800,000",1.0%,"$800,000","$800,000","$800,000","$800,000",$0,$0
842. Charles Hudon,MTL,25,"Jun 23, 1994",Canada,196 lbs - 89 kg,5' 10 - 178 cm,"LW, RW",Left,122 - Round 5 - 2012 (MTL),,,✔,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 19, 2019",25,✔,✔,,1,RFA,RFA,2020,"$800,000",1.0%,"$800,000","$800,000","$800,000","$800,000",$0,$0
843. Cody Goloubef,OTT,29,"Nov 30, 1989",Canada,200 lbs - 91 kg,6' 1 - 185 cm,D,Right,37 - Round 2 - 2008 (CBJ),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (2-way),"Jun 25, 2019",29,,,,1,UFA,UFA,2020,"$800,000",1.0%,"$800,000","$800,000","$800,000","$425,000",$0,$0
844. Jordan Szwarz,OTT,28,"May 14, 1991",Canada,190 lbs - 86 kg,5'11 - 180 cm,RW,Right,97 - Round 4 - 2009 (ARI),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (2-way),"Jul 1, 2019",28,,,,1,UFA,UFA,2020,"$800,000",1.0%,"$800,000","$800,000","$800,000","$425,000",$0,$0
845. Christian Folin,MTL,28,"Feb 9, 1991",Sweden,204 lbs - 93 kg,6' 3 - 191 cm,D,Right,-,,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Apr 18, 2019",28,,,,1,UFA,UFA,2020,"$800,000",1.0%,"$800,000","$800,000","$800,000","$800,000",$0,$0
846. Tyler Ennis,OTT,29,"Oct 6, 1989",Canada,161 lbs - 73 kg,5' 9 - 175 cm,"C, LW, RW",Left,26 - Round 1 - 2008 (BUF),,,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (1-way),"Jul 1, 2019",29,,,,1,UFA,UFA,2020,"$800,000",1.0%,"$800,000","$800,000","$800,000","$800,000",$0,$0
847. Mac Hollowell,TOR,20,"Sep 26, 1998",Canada,170 lbs - 77 kg,5' 9 - 175 cm,D,Right,118 - Round 4 - 2018 (TOR),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Mar 7, 2019",20,,,,3,ELC,RFA,2022,"$799,766",1.0%,"$799,766","$783,000","$705,000","$70,000","$78,000",$0
848. Nicholas Henry,COL,19,"Jul 4, 1999",Canada,190 lbs - 86 kg,6'0 - 183 cm,RW,Right,94 - Round 4 - 2017 (COL),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Mar 1, 2019",19,,,,3,ELC,RFA,2022,"$798,333",1.0%,"$826,666","$785,000","$700,000","$70,000","$85,000","$65,000"
849. Leon Gawanke,WPG,20,"May 31, 1999",Germany,181 lbs - 82 kg,6'1 - 185 cm,D,Right,136 - Round 5 - 2017 (WPG),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"May 23, 2019",20,,,,3,ELC,RFA,2022,"$796,667",1.0%,"$810,000","$780,000","$700,000","$70,000","$80,000","$20,000"
850. Nikolai Knyzhov,SJS,21,"Mar 20, 1998",Russia,195 lbs - 88 kg,6'2 - 188 cm,D,Left,-,,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Jul 2, 2019",21,,,,3,ELC,RFA,2022,"$796,667",1.0%,"$810,000","$780,000","$700,000","$70,000","$80,000","$20,000"
851. Markus Phillips,LAK,20,"Mar 21, 1999",Canada,207 lbs - 94 kg,6'0 - 183 cm,D,Left,118 - Round 4 - 2017 (LAK),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Apr 30, 2019",20,,,,3,ELC,RFA,2022,"$796,667",1.0%,"$801,667","$777,500","$700,000","$70,000","$77,500",$0
852. Martin Pospisil,CGY,19,"Nov 19, 1999",Slovakia,181 lbs - 82 kg,6'2 - 188 cm,RW,Left,105 - Round 4 - 2018 (CGY),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Apr 20, 2019",19,,,,3,ELC,RFA,2022,"$796,667",1.0%,"$810,000","$780,000","$700,000","$70,000","$80,000","$20,000"
853. Zacharie Émond,SJS,19,"Jun 20, 2000",Canada,165 lbs - 75 kg,6' 3 - 191 cm,G,Left,176 - Round 6 - 2018 (SJS),✓,✓,,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,Entry-Level,"May 30, 2019",19,,,,3,ELC,RFA,2022,"$796,667",1.0%,"$810,000","$780,000","$700,000","$70,000","$80,000","$20,000"
854. Axel Andersson,BOS,19,"Feb 10, 2000",Sweden,174 lbs - 79 kg,6'0 - 183 cm,D,Right,57 - Round 2 - 2018 (BOS),✓,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Jul 1, 2018",18,,,,3,ELC,RFA,2022,"$795,000",1.0%,"$894,167","$792,500","$700,000","$70,000","$92,500","$132,500"
855. Josh Brook,MTL,20,"Jun 17, 1999",Canada,185 lbs - 84 kg,6'2 - 188 cm,D,Right,56 - Round 2 - 2017 (MTL),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Sep 21, 2018",19,,,,3,ELC,RFA,2022,"$795,000",1.0%,"$910,833","$792,500","$700,000","$70,000","$92,500","$182,500"
856. Jason Robertson,DAL,19,"Jul 22, 1999",United States,194 lbs - 88 kg,6'2 - 188 cm,LW,Left,39 - Round 2 - 2017 (DAL),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"May 3, 2018",18,,,,3,ELC,RFA,2022,"$795,000",1.1%,"$894,167","$792,500","$700,000","$70,000","$92,500","$132,500"
857. Oula Palve,PIT,27,"Feb 19, 1992",Finland,176 lbs - 80 kg,6'0 - 183 cm,C,Left,-,,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Apr 19, 2019",27,,,,1,UFA,UFA,2020,"$792,500",1.0%,"$925,000","$792,500","$700,000","$70,000","$92,500","$132,500"
858. Jakob Lilja,CBJ,25,"Jul 23, 1993",Sweden,195 lbs - 88 kg,6'0 - 183 cm,LW,Left,-,,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Jun 15, 2019",25,,,,1,ELC,RFA,2020,"$792,500",1.0%,"$925,000","$792,500","$700,000","$70,000","$92,500","$132,500"
859. Emil Larmi,PIT,22,"Sep 26, 1996",Finland,183 lbs - 83 kg,6'0 - 183 cm,G,Left,-,,✓,,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,Entry-Level,"Jun 2, 2019",22,,,,2,ELC,RFA,2021,"$792,500",1.0%,"$925,000","$792,500","$700,000","$70,000","$92,500","$132,500"
860. Kasper Björkqvist,PIT,21,"Jul 10, 1997",Finland,198 lbs - 90 kg,6'1 - 185 cm,LW,Left,61 - Round 2 - 2016 (PIT),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"May 15, 2019",21,,,,2,ELC,RFA,2021,"$792,500",1.0%,"$925,000","$792,500","$700,000","$70,000","$92,500","$132,500"
861. Andrei Chibisov,WPG,26,"Feb 26, 1993",Russia,227 lbs - 103 kg,6'4 - 193 cm,"RW, LW",Left,-,,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"May 31, 2019",26,,,,1,ELC,UFA,2020,"$792,500",1.0%,"$925,000","$792,500","$700,000","$70,000","$92,500","$132,500"
862. Jacob Lucchini,PIT,24,"May 9, 1995",Canada,183 lbs - 83 kg,5'11 - 180 cm,"C, LW",Left,-,,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Mar 11, 2019",24,,,,1,ELC,RFA,2020,"$792,500",1.0%,"$925,000","$792,500","$700,000","$70,000","$92,500","$132,500"
863. Felix Sandström,PHI,22,"Jan 12, 1997",Sweden,192 lbs - 87 kg,6'2 - 188 cm,G,Left,70 - Round 3 - 2015 (PHI),,✓,,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,Entry-Level,"Mar 28, 2018",21,,,,3,ELC,RFA,2021,"$792,500",1.1%,"$925,000","$792,500","$700,000","$70,000","$92,500","$132,500"
864. Patrick Newell,NYR,23,"Jan 18, 1996",United States,170 lbs - 77 kg,5'10 - 178 cm,"C, LW",Left,-,,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Mar 30, 2019",23,,,,2,ELC,RFA,2021,"$792,500",1.0%,"$925,000","$792,500","$700,000","$70,000","$92,500","$132,500"
865. Lukas Vejdemo,MTL,23,"Jan 25, 1996",Sweden,194 lbs - 88 kg,6'2 - 188 cm,"C, LW, RW",Left,87 - Round 3 - 2015 (MTL),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"May 2, 2018",22,,,,2,ELC,RFA,2020,"$792,500",1.1%,"$925,000","$842,500","$750,000","$70,000","$92,500","$82,500"
866. Johnny Kovacevic,WPG,21,"Jul 2, 1997",Canada,220 lbs - 100 kg,6'3 - 191 cm,D,Right,74 - Round 3 - 2017 (WPG),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Mar 15, 2019",21,,,,2,ELC,RFA,2021,"$792,500",1.0%,"$925,000","$792,500","$700,000","$70,000","$92,500","$132,500"
867. Cameron Hughes,BOS,22,"Oct 9, 1996",Canada,161 lbs - 73 kg,5' 11 - 180 cm,"C, LW",Left,165 - Round 6 - 2015 (BOS),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Mar 10, 2018",21,,,,3,ELC,RFA,2021,"$792,500",1.1%,"$925,000","$792,500","$700,000","$70,000","$92,500","$132,500"
868. Mason Shaw,MIN,20,"Nov 3, 1998",Canada,181 lbs - 82 kg,5'9 - 175 cm,C,Left,97 - Round 4 - 2017 (MIN),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Apr 27, 2018",19,,,,3,ELC,RFA,2021,"$792,500",1.1%,"$925,000","$792,500","$700,000","$70,000","$92,500","$132,500"
869. Ryan Lohin,TBL,23,"Jun 26, 1996",United States,190 lbs - 86 kg,6' 0 - 183 cm,"C, LW, RW",Left,208 - Round 7 - 2016 (TBL),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Mar 22, 2019",23,,,,2,ELC,RFA,2021,"$792,500",1.0%,"$925,000","$792,500","$700,000","$70,000","$92,500","$132,500"
870. Lucas Carlsson,CHI,21,"Jul 5, 1997",Sweden,190 lbs - 86 kg,6' 0 - 183 cm,D,Left,110 - Round 4 - 2016 (CHI),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"May 21, 2018",20,,,,3,ELC,RFA,2021,"$792,500",1.1%,"$925,000","$792,500","$700,000","$70,000","$92,500","$132,500"
871. Mason Jobst,NYI,25,"Feb 17, 1994",United States,185 lbs - 84 kg,5'8 - 173 cm,C,Left,-,,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Standard (2-way),"Apr 2, 2019",25,,,,2,UFA,UFA,2021,"$792,500",1.0%,"$792,500","$792,500","$700,000","$70,000","$92,500",$0
872. Bobo Carpenter,NYI,22,"Aug 16, 1996",United States,185 lbs - 84 kg,5'11 - 180 cm,"LW, C",Right,-,,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Mar 26, 2019",22,,,,2,ELC,RFA,2021,"$792,500",1.0%,"$925,000","$792,500","$700,000","$70,000","$92,500","$132,500"
873. Teemu Kivihalme,TOR,24,"Jun 14, 1995",United States,181 lbs - 82 kg,6'0 - 183 cm,D,Left,140 - Round 5 - 2013 (NSH),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"May 7, 2019",24,,,,1,ELC,RFA,2020,"$792,500",1.0%,"$925,000","$792,500","$700,000","$70,000","$92,500","$132,500"
874. Dakota Joshua,STL,23,"May 15, 1996",United States,183 lbs - 83 kg,6'2 - 188 cm,C,Left,128 - Round 5 - 2014 (TOR),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Jul 12, 2019",23,,,,2,ELC,RFA,2021,"$792,500",1.0%,"$925,000","$792,500","$700,000","$70,000","$92,500","$132,500"
875. Kris Bindulis,WSH,23,"Sep 17, 1995",Latvia,181 lbs - 82 kg,6' 3 - 191 cm,D,Left,-,,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Mar 7, 2017",21,,,,3,ELC,RFA,2020,"$792,500",1.1%,"$925,000","$842,500","$750,000","$70,000","$92,500","$82,500"
876. Alexandar Georgiev,NYR,23,"Feb 10, 1996",Russia,179 lbs - 81 kg,6' 1 - 185 cm,G,Left,-,,✓,,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,Entry-Level,"Jul 17, 2017",21,,,,3,ELC,RFA,2020,"$792,500",1.1%,"$925,000","$792,500","$700,000","$70,000","$92,500","$132,500"
877. Johan Södergran,LAK,19,"Nov 20, 1999",Sweden,205 lbs - 93 kg,6'3 - 191 cm,C,Left,165 - Round 6 - 2018 (LAK),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Jun 10, 2019",19,,,,3,ELC,RFA,2022,"$791,667",1.0%,"$791,667","$770,000","$700,000","$70,000","$70,000",$0
878. Fedor Gordeev,MIN,20,"Jan 27, 1999",Canada,207 lbs - 94 kg,6'5 - 196 cm,D,Left,141 - Round 5 - 2017 (TOR),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"May 30, 2019",20,,,,3,ELC,RFA,2022,"$791,667",1.0%,"$791,667","$775,000","$700,000","$70,000","$75,000",$0
879. Nicolas Hague,VGK,20,"Dec 5, 1998",Canada,207 lbs - 94 kg,6' 6 - 198 cm,D,Left,34 - Round 2 - 2017 (VGK),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Sep 29, 2017",18,,,,3,ELC,RFA,2022,"$791,667",1.1%,"$863,333","$792,500","$700,000","$70,000","$92,500","$132,500"
880. Jakub Lauko,BOS,19,"Mar 28, 2000",Czech Republic,179 lbs - 81 kg,6'0 - 183 cm,"C, LW",Left,77 - Round 3 - 2018 (BOS),✓,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Sep 28, 2018",18,,,,3,ELC,RFA,2022,"$786,667",1.0%,"$894,167","$792,500","$700,000","$70,000","$92,500","$132,500"
881. Nathan Schnarr,ARI,20,"Jun 15, 1999",Canada,181 lbs - 82 kg,6'3 - 191 cm,C,Right,75 - Round 3 - 2017 (ARI),,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Dec 10, 2018",19,,,,3,ELC,RFA,2022,"$786,667",1.0%,"$894,167","$792,500","$700,000","$70,000","$92,500","$132,500"
882. Riley Sutter,WSH,19,"Oct 25, 1999",Canada,203 lbs - 92 kg,6'3 - 191 cm,RW,Right,93 - Round 3 - 2018 (WSH),✓,✓,,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,Entry-Level,"Sep 29, 2018",18,,,,3,ELC,RFA,2022,"$786,667",1.0%,"$894,167","$792,500","$700,000","$70,000","$92,500","$132,500"
